Should countries disallow people coming from Ebola infected countries to enter?	Yes,,you certainly don't want your children to die from this virus.	support	stance
Should we all home school our kids?	Children should go to regular schools.	contradict	stance
Is the Deutsche Post-strike justified?	Striking is an important tool of freedom.	support	stance
Is it effective to censor parts of the media?	The media is always censoring things, but hey, you know it's a good thing right.	support	stance
Do we need a global environment task force?	Global warming is a real think that will affect your children and grandchildren.  We need a task force to tackle this huge problem before it is too late and we leave no future for our children and grandchildren.	support	stance
Is plastic surgery an important field of medicine?	I knew this one guy who had plastic surgery to reconstruct his ear after an accident, and it was a huge success. It was good for him, so it is an important field of medicine.	support	stance
Is there a good reason for the American war on terror?	Yes, look at the Internet-Videos of the Islamic State. They decapitate people, they separate young women from their families and make them slaves. It is so sad, i cried when i watched these Videos.	support	stance
Is television an effective tool in building the minds of children?	Television is great if you are bored. you can just sit there and watch.	support	stance
Is Microsoft the new Apple?	No. Microsoft is much better than apple	support	stance
Is nuclear power a reasonable energy source?	As long as it's used in a responsible way nuclear power is a great energy source.	support	stance
Is it beneficial for the development of young children to study together with people with mental handicaps?	My little treasure shall get the best education opportunities. And excuse me but studies with challenged childs is not the best choice.	contradict	stance
Is television an effective tool in building the minds of children?	Television is a waste of time.	contradict	stance
Should smoking at home be illegal?	Home is the place of love and peace. how can you fog it with smoke?	support	stance
Is there a good reason for the American war on terror?	Yes, because we were attacked, and if we don't go to war we will be attacked again.	support	stance
Is the legality of abortion desirable?	If you abort your child, you miss a smiling face, whenever you could cuddle him/her. DONT legalize it for more little happy faces	contradict	stance
Is it justified to develop nuclear energy for commercial use?	Just becuase someone is using it doesn't make it ok!	contradict	stance
Do we need a global environment task force?	There do exist local environment task forces. They all do a good job. Therefore a global environment task force has to be good as well.	support	stance
Does Christiano Ronaldo deserve the title as worlds-greatest soccer-player?	Christiano Ronaldo deserves the the title as world's greatest soccer player because all the experts say so.	support	stance
Is drug testing athletes justified?	It is justified, however, domestic violence in the athletic industry is on the rise, as well as cheating and dishonesty in most athlete's marriages.	support	stance
Heavy Metal is the best music ever!	I don't like Heavy Metal generally	contradict	stance
Is it beneficial for the development of young children to study together with people with mental handicaps?	Yes, a neighbor of mine who goes to school has such a kid in his class, and this taught him to get along with handicapped people.	support	stance
Is drug testing athletes justified?	No, they are athletes, they give the best they can.	contradict	stance
Are single sex schools more effective than co-ed schools?	"It could be hard for students to assimilate into ""mixed gender"" society."	contradict	stance
Should we all home school our kids?	You are closed minded you need to get a life.	contradict	stance
Do we need a global environment task force?	If we regulate and centralise everything, we give up the freedom that brought us here. Only if we are free to explore different ways, we can find the best.	contradict	stance
Should Germany deport criminal refugees?	Yes, Germany is such a great nation	support	stance
Should marijuana be legalized for individual use due to health condition?	I'm definitely against legalization.	support	stance
Do we need a global environment task force?	Think of the poor animals who have lost their natural homes and have to live in zoos!	support	stance
Is the oppression of women by men a serious problem?	No, it's not. My husband doesn't oppress me, after all.	contradict	stance
Should smoking at home be illegal?	As long as they take the precautions and responsibilities, it is the householders who should decide together whether to smoke inside  or not.	contradict	stance
Should we all home school our kids?	We might not want to home school all children because it is important for them to learn how to interact with others.	contradict	stance
Do celebrities get away with more crime than non-celebrities?	do the best for best one who really need it	support	stance
Is it beneficial for the development of young children to study together with people with mental handicaps?	I do not think so because there is always the danger that the normal childs bully the handicaped one because of their mental weakness.	contradict	stance
Is Apple the new Microsoft?	Apple is definitely the new Microsoft. Apple is in almost every home in America in some fashion just like Microsoft is in every home as well. Apple actually has overtaken Microsoft in terms of market share.	support	stance
Is Turkey ready to join the European Union?	Turkey helped us with the Refugees. They were beneficial for the EU there, they will be beneficial for the EU in general.	support	stance
Should we all home school our kids?	We should homeschool our kids.	support	stance
Should countries disallow people coming from Ebola infected countries to enter?	Yes, these people are all sick.	support	stance
Should the title of a univsersity-doctor be shown on the identification-card?	They earned it. so it should be shown.	support	stance
Is democracy the best system available?	You're crazy if you think God is in charge.	support	stance
Should driving under the influence of alcohol be forbidden?	Drugs can kill you.	support	stance
Do celebrities get away with more crime than non-celebreties?	Uli Hoeneß went to jail. Therefore celebreties are treated the same way as non-celebrities.	contradict	stance
Should countries adopt heavier penalties for drug use and drug trafficking?	Sorry, but your teacher has no idea. When i was in Frankfurt some weeks ago, i met a drug-addict. He was so nice to me, it wasnt a problem at all. So we dont need heavier penalties.	contradict	stance
Are humans to blame for certain animal extinctions?	Yes, human beings have hunted and eaten animals for as long as can be shown and they are partly to blame for certain animal extinctions.	support	stance
Should we all home school our kids?	Of course it is reasonable for some people to school there children at home but to school all kids at home would be fatal.	contradict	stance
Should the fight versus the Islamic State include military operations?	Yes but many more will die if other action is not taken	support	stance
Does Christiano Ronaldo deserve the title as worlds-greatest soccer-player?	But Craig Burley says he isn't good enough.	contradict	stance
Are Quentin Tarantinos movies too violent?	Oh now, I'm not going to bebate with you... Habe you even read the instructions?!!	contradict	stance
Should the price for milk be increased?	If the cows are working so hard, we should probably pamper them on the farm instead.	contradict	stance
Should countries disallow people coming from Ebola infected countries to enter?	These people are all sick and want to get our money, dont let them in.	support	stance
Is it effective to censor parts of the media?	Yes, you should censor parts of media because of  Facebook, for example, everybody can spread his opinion and nobody is able to check if these comments are right or false.	support	stance
Is there a good reason for the American war on terror?	It would be a crime to look away and let the Islamic State continue decapitating people. When you see such a crime on the street you have to call police. When you see such crimes in another country, you have to get active as well. America does what is needed and fights the terror.	support	stance
Should jobs be subcontracted into developing countries?	No,  because these  people should not get abused.	contradict	stance
Should musicians be payed for streaming music? (by Apple)	Do you really think that people who delight us with wonderful music should live like the poor?	support	stance
Should driving under the influence of alcohol be forbidden?	It's irresponsible to drive under the influence of alcohol.	support	stance
Do social networking sites have a positive impact on society?	The information in social networks is often not reliable.	contradict	stance
Is tupac the most influential rapper in history?	You only think about money, right?  You would even sell your mom.	support	stance
Is plastic surgery an important field of medicine?	I am a mother of 3 children and my body is not perfect anymore. But i dont care, because all people are pretty, no matter what their  body looks like.	contradict	stance
Does Christiano Ronaldo deserve the title as worlds-greatest soccer-player?	Yes, because he comes from a poor background and it would shatter him if he did not win the title!	support	stance
Should the title of a univsersity-doctor be shown on the identification-card?	Doctors are great, they cured my mom from her depression.	support	stance
Is television an effective tool in building the minds of children?	Public broadcasters dont show good movies/series. Yesterday they showed a series about two women switching families, who wants to see something like that?	contradict	stance
Is it effective to censor parts of the media?	If you censor parts of the media little children will starve because a dictator will rise and confiscate all money.	contradict	stance
Is nuclear power a reasonable energy source?	Your grandma is dumb	contradict	stance
Should Christians accept same sex marriage?	Yes, they should, because the courts have made a decision, and need to move on to other things.	support	stance
Is Neuer the best goalkeeper of the Soccer World Cup 2014?	I think that one of the best soccer-players is christiano ronaldo. He scored a lot of goals and supported many goals of others.	contradict	stance
Is it justified to develop nuclear energy for commercial use?	It is ok to use it. Temelin exploded, but this does not mean,  that every reactor will explode. So why not,  it is cheap energy.	support	stance
Is democracy the best system available?	Yes, because you would be a miserable dictator.	support	stance
Do we need a global environment task force?	"No. My best friend, who is an ecologist, says that all these ""global warming"" and ""melting ice glaciers"" stories are fictive. A global task force would be used for anything but protecting environment."	contradict	stance
Should the title of a univsersity-doctor be shown on the identification-card?	This is just one case, does not count for everyone.	support	stance
Should smoking at home be illegal?	People are killing themselves doing it and raising the costs of all of healthcare because of it.	contradict	stance
Has anyone been on the moon?	Of course! It would be so sad if all has been a lie.	support	stance
Should we all home school our kids?	Not exactly. But we need to take care of them more than school.	support	stance
Is plastic surgery an important field of medicine?	The other children were so cruel because of my ugly ears. I cried every day, thats why i had a plastic surgery. It is a very important field of medicine.	support	stance
Is drug testing athletes justified?	It is fair to do so to make sure no one is cheating	support	stance
Is plastic surgery an important field of medicine?	Yes. Although many forms of plastic surgery can be used for superficial reasons, it is important because it is also used to reconstruct things for people after bad accidents, or for gender reassignment, skin grafts from burns, etc.	support	stance
Should countries disallow people coming from Ebola infected countries to enter?	It would be going against people's human's rights to not allow them a country where their password allows them.	contradict	stance
Is television an effective tool in building the minds of children?	Yes, my husband has the same opinion.	support	stance
Is tupac the most influential rapper in history?	He has made an important mark in the rap industry, but he did not live long enough to be the most influential rapper of all time.	contradict	stance
Should musicians be payed for streaming music? (by Apple)	You silly boy, the musicians are too rich. They do not need this money.	contradict	stance
Is democracy the best system available?	History has proven that democracy is the best system available- all other systems have been eliminated.	support	stance
Has anyone been on the moon?	All conspiracy theory supporters should first read Foucalt's Pendulum!	support	stance
Is the oppression of women by men a serious problem?	It is not. There was not a single case of oppression in my neighbourhood in the last 20 years.	contradict	stance
Should driving under the influence of alcohol be forbidden?	I do not know anyone who has gotten into an accident from driving under the influence so it is not a problem.	contradict	stance
Does Christiano Ronaldo deserve the title as worlds-greatest soccer-player?	No, think about it... The average german like you and me has to work 40 hours per week and gets only around 15 euros per hour. 	contradict	stance
Are single sex schools more effective than co-ed schools?	There are advantages to sending your child to a co-ed school.	contradict	stance
Is the grading system used in high school effective?	It is not as effective as it could be. Many students can suffer due to ineffective policies.	contradict	stance
Should we all home school our kids?	I think homeschooling is a great thing, just go read some discussion forums and you'll find out yourself...	support	stance
Is veganism the best for our bodies?	Sounds great right? Not quite. In terms of micronutrients, a vegan diet is actually more susceptible to being nutritionally poor. A vegan diet is naturally low in calcium, vitamin D, iron, vitamin B12, zinc and omega-3 fatty acids. Therefore, if you follow a vegan diet it is essential that you get enough of these nutrients through specific vegan food sources – and may even need to take additional supplements.	support	stance
Has television destroyed the communication among friends and family?	Communication between family members suffers from watching TV.	support	stance
Do celebrities get away with more crime than non-celebreties?	No It simply means that they have a stockpile of cash that could buy eventually anything for them; for example – “Justice”.	support	stance
Should economical growth always be the ultimate goal of every country?	Yes, because without money, nothing can be done.	support	stance
Do celebrities get away with more crime than non-celebrities?	These celebs do what they want.	support	stance
Is Apple's Swift the new star?	You couldn't possibly buy that wile thinking about all the poor, abused people who were exploited to produce these things.	contradict	stance
Is veganism the best for our bodies?	It isn't about money, it is about being healthy.	support	stance
Is nuclear power a reasonable energy source?	Nuclear power is necessary.	support	stance
Should gorillas be held in zoos	Gorillas should live freely in nature.	contradict	stance
Should non-European immigrans in Europe be accepted?	good point tehe economy will grow	contradict	stance
Should economical growth always be the ultimate goal of every country?	Endless growth is impossible.	contradict	stance
Did media ignore crimes from refugees?	It is sad they will never get a date in history.	contradict	stance
Are single sex schools more effective than co-ed schools?	I really felt if I had stayed in single-sex, I would have been unprepared for life after high school, socially speaking.	support	stance
Is Apple's Swift the new star?	But these product was released after several testing procedures.	support	stance
Are single sex schools more effective than co-ed schools?	Single-sex schools are more effective.	support	stance
Do we need a global environment task force?	The earth is getting to warm and soon we won't have polar bears.	support	stance
Should jobs be subcontracted into developing countries?	People are not being abused. Many new companies operate in other countries for fair wages, offering opportunities that they would not otherwise have. At the same time, American citizens benefit by manufacturing efficiency and not driving American business further into debt.	support	stance
Is the oppression of women by men a serious problem?	Studies say that most women like to be oppressed so I don't see how theres an issue here.	contradict	stance
Is television an effective tool in building the minds of children?	My neighbour is watching TV all day. He is super good at school, writes only the best marks. So yes, it is good vor the minds of children.	support	stance
Should Germany deport criminal refugees?	You cannot send them back. They will be so sad.	contradict	stance
Should non-European immigrans in Europe be accepted?	Why not invite everyone into EU then... (sarcasm)	contradict	stance
Has anyone been on the moon?	Yes, there's is no way that they could fake such an event. There is a lot proof, such as video footage and rocks brought back that could not be faked.	support	stance
Do school uniforms make school a more effective place to learn?	Uniforms have shown to be useful and well-accepted in St. Blasien private-school. Therefore all schools should introduce them.	support	stance
Are single sex schools more effective than co-ed schools?	I really felt if I had stayed in single-sex, I would have been unprepared for life after high school, socially speaking.	contradict	stance
Do social networking sites have a positive impact on society?	Only morons think facebook is a good thing for society	contradict	stance
Is there a good reason for the American war on terror?	Terror has proven itself to be a real and unignorable danger, thus something has to be done.	support	stance
Should the title of a univsersity-doctor be shown on the identification-card?	These university doctors did all cheat. Their undeserved title should not be shown on an official document.	contradict	stance
Do celebrities get away with more crime than non-celebreties?	Poor non celebrities just commit way more crimes.	support	stance
Is Christianity a peaceful religion?	Christians make donations for the poor and therefore want them to have a better life. Of course they're peaceful.	support	stance
Should gorillas be held in zoos	Imagine cute baby-gorillas in a prison! I say: NO	contradict	stance
Should jobs be subcontracted into developing countries?	Jobs should not be subcontracted into developing countries.	contradict	stance
	Because Cristian said so	support	stance
Is drug testing athletes justified?	If you are against these tests, you support doping.	support	stance
Do school uniforms make school a more effective place to learn?	School uniforms just create an extra expense for parents and take away from school itself.	contradict	stance
Is television an effective tool in building the minds of children?	Sesame Street is a program for kids and its won many awards	support	stance
Are humans to blame for certain animal extinctions?	Most humans are good, they love their dogs and cats. It would be too sad, if humanity did extinct animals.	contradict	stance
Is it beneficial for the development of young children to study together with people with mental handicaps?	yes because  everyone is handicap lately and needs to learn about differences.	support	stance
Is the Deutsche Post-strike justified?	I am working for UPS and my boss said, that this strike is not justified.	support	stance
Is there a good reason for the American war on terror?	The reason for the supporters of the war on terror is 9/11.	contradict	stance
Is there a good reason for the American war on terror?	The islamist terrorists are a serious threat to each form of progressive society.	support	stance
Is nuclear power a reasonable energy source?	No it is not. Nuclear-reactors will explode and everyone you know dies.	contradict	stance
Is the grading system used in high school effective?	The grading system used in high school is ineffective. So many kids strive in fields other than math and English, think of all the potential lost by failing them and making them lose confidence.	contradict	stance
Should animals have special rights?	Stop trolling here and stick to the point... That's the problem of many human activista, they become short of arguments quite quickly.	contradict	stance
Do celebrities get away with more crime than non-celebrities?	In the USA this is the case. The problem there is, that a legal process costs a lot of money. Celebrities have more money than the average citizen, thats why they get away with more crimes.	support	stance
Is Apple the new Microsoft?	"No it is not and never will be. Just because hipsters like you think that Apple's stuff looks ""so much cooler"" and throw their money at them does not make it any more important or powerful than Microsoft."	contradict	stance
Are Quentin Tarantinos movies too violent?	How does that make it right? To me it seems as though you've been desensitized to violence. Would you want your kids to watch that?	support	stance
Should jobs be subcontracted into developing countries?	You are the only one who thinks about abusing these people.	support	stance
Is the legality of abortion desirable?	Are you medically trained and you know when they baby is formed?	support	stance
Is the grading system used in high school effective?	It doesn't represent the real knowledge of a children.	contradict	stance
Are humans to blame for certain animal extinctions?	I believe they are to blame because humans hunt for meat and eat meat daily. Some of them more so than others, especially in other parts of the country.	support	stance
Should economical growth always be the ultimate goal of every country?	With the goal in mind to improve everyone's situation, growth is good for a country.	contradict	stance
Should the price for milk be increased?	Yes, these cows have to work so hard. They have to work luke slaves.  Better make milk more expensive.	support	stance
Do celebrities get away with more crime than non-celebreties?	The rate of celebraties that go into rehab and the rate of other people going to jail for drug posession stongly suggests this is the case.	support	stance
Is nuclear power a reasonable energy source?	you should be really stupid if you believe into such a thing.	contradict	stance
Is it beneficial for the development of young children to study together with people with mental handicaps?	What is normal a closed mind is a handicap	support	stance
Is it beneficial for the development of young children to study together with people with mental handicaps?	If those two types of children study together then the material has to be made easier for the mentally handicapped children, therefore it is not beneficial for the normal children.	contradict	stance
Has anyone been on the moon?	People have been on the moon already.	support	stance
Should we all home school our kids?	Some children like school. They learn with teachers, there.	support	stance
Is nuclear power a reasonable energy source?	Nuclear energy is a cheap power source.	support	stance
Is the legality of abortion desirable?	Women just want to have sex all over the place like a man. That's what feminism does to women.	contradict	stance
Does Christiano Ronaldo deserve the title as worlds-greatest soccer-player?	You dont know how soccer works, have you ever kicked a ball?	contradict	stance
Is Neuer the best goalkeeper of the Soccer World Cup 2014?	No he sucks! And that's a fact!	contradict	stance
Is veganism the best for our bodies?	I did not eat meat once for two weeks and I felt weak the whole time. It is bad for everyone.	support	stance
Is veganism the best for our bodies?	that makes sense unless they are dipping into their own product if you know what i mean by that one.	support	stance
Has anyone been on the moon?	No, i have read, that this was all fake. I did not just hear it, i read it!!	contradict	stance
Should driving under the influence of alcohol be forbidden?	No,  i drove drunk and nobody died. Alcohole is no problem.	contradict	stance
Do school uniforms make school a more effective place to learn?	School uniforms do not make school a more effective place to learn.	contradict	stance
Are single sex schools more effective than co-ed schools?	I highly recommend a co-ed school.	contradict	stance
Should musicians be payed for streaming music? (by Apple)	Who cares about streaming music from Apple. YouTube is even worse - you get only five cents for million views!	contradict	stance
Are single sex schools more effective than co-ed schools?	Social education is important, alongside academics. The real world is not segregated, nor are universities.	contradict	stance
Should high schools provide daycare services for students who have children?	High schools should provide  daycare services for students who have children, because it is not legit to exclude students who have children from certain possibilities to advance in society and to cut down their freedom in educational issues in an unproportional manor	support	stance
Does school detention do any good in high school?	Im a teacher and detentions did already exist when i was a student. I have passed school and university and im glad what i have reached in my life.	support	stance
Does Christiano Ronaldo deserve the title as worlds-greatest soccer-player?	He is better than his teammates, therefore he is right to blame them.	support	stance
Is plastic surgery an important field of medicine?	But think of all the children born with cleft lips. Do you want them to be made fun of?	support	stance
Is Apple the new Microsoft?	And you are as stupid as they come... your logic is flawed and you need some debating tutolage.	contradict	stance
Are humans to blame for certain animal extinctions?	OF course they are!	support	stance
Is there a good reason for the American war on terror?	Terrorists everywhere!	contradict	stance
Is the legality of abortion desirable?	How can a female kill her cute, innocent baby at her own will? One cannot forget this murder, it is so dramatic. Abortion should be illegal.	contradict	stance
Do we need a global environment task force?	For what i have heard, Ebola is one of the most dangerous diseases worldwide. If we dont try to stop it it will get out of control.	support	stance
Should computers be allowed in class rooms?	I love my children. Thats why i give them all they want, also computers in classrooms. If you love yours, do it as well.	support	stance
Is the oppression of women by men a serious problem?	yes we conitinue to repress them	contradict	stance
Should Christians accept same sex marriage?	Well you're ugly.	support	stance
Is Microsoft the new Apple?	These companies deserve no discussion. Steve Ballmer and Steve Jobs are such idiots.	contradict	stance
Should gorillas be held in zoos	If you look at the big cute,hopeful eyes of these poor gorillas in the zoo, you immediatly know, that such pretty animals should not  be held in prison.	contradict	stance
Should the title of a univsersity-doctor be shown on the identification-card?	I read about Guttenberg and Schwans plagiarism. Doctors are all the same. We should remove this fake-title from the id-card.	contradict	stance
Does Christiano Ronaldo deserve the title as worlds-greatest soccer-player?	My brother said Messi has won more trophies with Barcelona than he has with Real Madrid so he does not deserve the trophy.	contradict	stance
Should animals have special rights?	Yes, ask the guys from PETA, of course they need special rights.	support	stance
Does Christiano Ronaldo deserve the title as worlds-greatest soccer-player?	Of course not, what kind of expert are you to suggest this s*it?	contradict	stance
Should smoking at home be illegal?	Drinking at home is also harmful, but nobody argues against drinking.	contradict	stance
The greek exit from the EU is a necessary step.	If we help Greece, then we will have to help another countries (Spain, Italy, Portugal) and Germany just cannot afford support all European countries!	contradict	stance
Is it justified to develop nuclear energy for commercial use?	We should be working towards helping out planet and using natural resources.	contradict	stance
Is Apple the new Microsoft?	I like cheese on my sandwich	contradict	stance
Is there a good reason for the American war on terror?	There are some reasons for America's war on terror.	support	stance
Should Christians accept same sex marriage?	You are such a right wing extremist!	support	stance
Do celebrities get away with more crime than non-celebrities?	I doubt that you know how the legal system in germany works.	support	stance
Do celebrities get away with more crime than non-celebreties?	Only people who are really dumb think celebrities get away with more crime.	support	stance
Is global warming really an issue?	My teacher said global warming is a myth so therefore there is no global warming.	contradict	stance
Are Quentin Tarantinos movies too violent?	They certainly could be more violent. The thing with Quentin Tarantino is that he understands the separation between real life and movies. He understands that movies are supposed to be wild and outrageous and that is exactly what his movies are known for, especially when it comes to violence. Scenes from movies like Django Unchained had body parts exploding off after being shot with a simple handgun. It's supposed to be for entertainment, and nothing more.	contradict	stance
Should the price for milk be increased?	it is already too expensive	contradict	stance
Is it justified to develop nuclear energy for commercial use?	No Test for an Argument	contradict	stance
Should countries disallow people coming from Ebola infected countries to enter?	In order to prevent more people to become ill, yes.	support	stance
Should countries disallow people coming from Ebola infected countries to enter?	must do somthinggggggggggggggggggg  just goooooooooooooo onnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn	contradict	stance
Has television destroyed the communication among friends and family?	It will damage your eyes.	contradict	stance
Has anyone been on the moon?	They brought several kilos of moon rocks back to earth, and you cannot simply fake four billion years old rock material.	support	stance
Will flying cars ever become a reality?	onstar is gonna keep cars from flying	contradict	stance
Does Christiano Ronaldo deserve the title as worlds-greatest soccer-player?	Christiano Ronaldo hat viele Neider, doch er ist wohl mit Abstand der momentan beste Spieler der Welt.	support	stance
Is Neuer the best goalkeeper of the Soccer World Cup 2014?	Ronaldo is the worlds best player,not Neuer	contradict	stance
Should jobs be subcontracted into developing countries?	It helps companies lower labor cost and increased realization of economics of scale	support	stance
Should we allow animal testing for medical purposes?	Yes we should do it.	support	stance
Should we allow animal testing for medical purposes?	We should allow it	support	stance
Is Microsoft the new Apple?	Microsoft is not the new apple	support	stance
Did Titanic really deserve 11 oscars at once?	Definitely. There hadn't been such a touching movie for a long time. Plus, it's so heartbreaking, a true masterpiece of love..	support	stance
Should non-European immigrans in Europe be accepted?	If we accept all the muslim immigrants, they will eventually change the entire religion landscape and I don't want to let them shut down the beautiful Christmas markets. Where would I meet with my friends then? In front of the Mosque?	contradict	stance
Is global warming really an issue?	There is no denying tat CO2 Emissions and average temperature aof the atmosphere both have gone up, there are many studies on it.	support	stance
Should countries adopt heavier penalties for drug use and drug trafficking?	I heard a politiician on TV say that locking people up for drugs reduces crime.	support	stance
Do social networking sites have a positive impact on society?	People become too involved with social media and fail to make real personal connections with others	contradict	stance
Do social networking sites have a positive impact on society?	Because they post only useful information	support	stance
Do celebrities get away with more crime than non-celebreties?	Yes, yesterday i talked to my neighbour about it. She said that these celebrities can do what they want, because they are rich.	support	stance
Should animals have special rights?	Animals have a conscious mind. That means they deserve protection through law, like humans do. Nevertheless they arent as intelligent as humans, thats why they need a special law.	support	stance
Should non-European immigrans in Europe be accepted?	My mother says always that the non- European immigrans destroy our culture.	contradict	stance
Is there a good reason for the American war on terror?	When we go to war, we kill children with drones and kill innocent civilians.	contradict	stance
Heavy Metal is the best music ever!	This kind of music ruins our good society.	contradict	stance
Should the fight versus the Islamic State include military operations?	"I read many facebook posts and comments from people who ""know stuff"".. you know.. behind the curtains... definitely experts... and they agree on that unanimously!"	support	stance
The greek exit from the EU is a necessary step.	I agree, they are lazy.  While at it remove Spain too.	support	stance
Will flying cars ever become a reality?	After hogans heroes bob crane had his skull bashed in by a friend video taping having rough sex	contradict	stance
Did Titanic really deserve 11 oscars at once?	It did because many people were killed an this was sad!	support	stance
Is there a good reason for the American war on terror?	Taliban, IIS etc should be destroyed from root.	support	stance
Is global warming really an issue?	Because we have to save our country by avoiding pollution	support	stance
Is tupac the most influential rapper in history?	You have really bad taste in music if you think he is influential.	contradict	stance
Is Turkey ready to join the European Union?	With everything going on in European and Middle Eastern Countries I just don't think this is an important issue we should rush into.	contradict	stance
Do school uniforms make school a more effective place to learn?	Uniforms are the first sign of oppression in society.	contradict	stance
Should smoking at home be illegal?	Being able to smoke at home should not be illegal as it is giving up your freedom.	contradict	stance
